iter	Passed	Remaining
745	4568	1555
746	4574	1549
747	4580	1543
748	4586	1537
749	4592	1530
750	4598	1524
751	4604	1518
752	4610	1512
753	4616	1506
754	4622	1499
755	4628	1493
756	4634	1487
757	4640	1481
758	4646	1475
759	4652	1469
760	4658	1463
761	4664	1456
762	4670	1450
763	4676	1444
764	4682	1438
765	4688	1432
766	4694	1426
767	4700	1419
768	4706	1413
769	4712	1407
770	4718	1401
771	4724	1395
772	4730	1389
773	4736	1383
774	4742	1376
775	4748	1370
776	4755	1364
777	4761	1358
778	4767	1352
779	4773	1346
780	4779	1340
781	4786	1334
782	4792	1328
783	4798	1322
784	4804	1315
785	4810	1309
786	4816	1303
787	4822	1297
788	4828	1291
789	4835	1285
790	4840	1279
791	4847	1272
792	4852	1266
793	4858	1260
794	4864	1254
795	4870	1248
796	4876	1242
797	4883	1236
798	4889	1229
799	4895	1223
800	4901	1217
801	4907	1211
802	4913	1205
803	4919	1199
804	4925	1193
805	4931	1186
806	4936	1180
807	4942	1174
808	4948	1168
809	4954	1162
810	4961	1156
811	4967	1150
812	4973	1143
813	4978	1137
814	4985	1131
815	4991	1125
816	4997	1119
817	5003	1113
818	5009	1107
819	5015	1101
820	5021	1094
821	5028	1088
822	5034	1082
823	5040	1076
824	5046	1070
825	5053	1064
826	5060	1058
827	5066	1052
828	5072	1046
829	5078	1040
830	5084	1034
831	5091	1028
832	5097	1022
833	5103	1015
834	5109	1009
835	5115	1003
836	5121	997
837	5127	991
838	5133	985
839	5139	978
840	5145	972
841	5151	966
842	5157	960
843	5163	954
844	5169	948
845	5176	942
846	5182	936
847	5189	930
848	5194	923
849	5200	917
850	5206	911
851	5212	905
852	5218	899
853	5225	893
854	5230	887
855	5236	880
856	5243	874
857	5249	868
858	5255	862
859	5261	856
860	5267	850
861	5273	844
862	5276	837
863	5282	831
864	5288	825
865	5294	819
866	5300	813
867	5306	807
868	5312	800
869	5315	794
870	5321	788
871	5327	781
872	5333	775
873	5339	769
874	5345	763
875	5351	757
876	5357	751
877	5363	745
878	5369	739
879	5375	733
880	5381	726
881	5387	720
882	5393	714
883	5399	708
884	5405	702
885	5412	696
886	5418	690
887	5424	684
888	5430	678
889	5436	671
890	5442	665
891	5448	659
892	5454	653
893	5460	647
894	5466	641
895	5472	635
896	5479	629
897	5485	623
898	5491	616
899	5497	610
900	5503	604
901	5509	598
902	5515	592
903	5521	586
904	5526	580
905	5533	574
906	5538	567
907	5545	561
908	5551	555
909	5557	549
910	5563	543
911	5570	537
912	5577	531
913	5583	525
914	5589	519
915	5595	513
916	5601	506
917	5607	500
918	5613	494
919	5619	488
920	5625	482
921	5631	476
922	5637	470
923	5644	464
924	5650	458
925	5656	452
926	5662	445
927	5668	439
928	5674	433
929	5680	427
930	5686	421
931	5692	415
932	5698	409
933	5704	403
934	5710	397
935	5716	390
936	5722	384
937	5729	378
938	5735	372
939	5741	366
940	5747	360
941	5754	354
942	5760	348
943	5766	342
944	5773	335
945	5779	329
946	5785	323
947	5792	317
948	5798	311
949	5804	305
950	5810	299
951	5816	293
952	5822	287
953	5828	281
954	5834	274
955	5841	268
956	5848	262
957	5854	256
958	5860	250
959	5867	244
960	5873	238
961	5879	232
962	5886	226
963	5892	220
964	5898	213
965	5904	207
966	5911	201
967	5916	195
968	5922	189
969	5929	183
970	5935	177
971	5941	171
972	5947	165
973	5953	158
974	5959	152
975	5965	146
976	5970	140
977	5976	134
978	5982	128
979	5989	122
980	5996	116
981	6002	110
982	6008	103
983	6014	97
984	6020	91
985	6026	85
986	6032	79
987	6038	73
988	6044	67
989	6050	61
990	6056	55
991	6062	48
992	6068	42
993	6074	36
994	6080	30
995	6086	24
996	6092	18
997	6098	12
998	6104	6
999	6110	0
